"","Illumina.Probe.ID","Ensembl.Gene.ID","GeneSymbol_Human","Gene.Description","Chromosome","Gene.Start..bp.","Gene.End..bp.","Module"
"1","ILMN_1698554","ENSG00000081760","AACS","acetoacetyl-CoA synthetase ","12"," 125,549,925 "," 125,627,873 ","M1"
"2","ILMN_1779163","ENSG00000087884","AAMDC","adipogenesis associated, Mth938 domain containing ","11"," 77,532,155 "," 77,629,478 ","M1"
"3","ILMN_1698189","ENSG00000149313","AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase ","11"," 105,946,228 "," 105,969,437 ","M1"
"4","ILMN_1762093","ENSG00000140798","ABCC12","ATP-binding cassette, sub-family C (CFTR/MRP), member 12 ","16"," 48,116,884 "," 48,189,929 ","M1"
"5","ILMN_1706531","ENSG00000114770","ABCC5","ATP-binding cassette, sub-family C (CFTR/MRP), member 5 ","3"," 183,637,722 "," 183,735,803 ","M1"
"6","ILMN_1767129","ENSG00000006071","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8 ","11"," 17,414,432 "," 17,498,449 ","M1"
"7","ILMN_1779470","ENSG00000172350","ABCG4","ATP-binding cassette, sub-family G (WHITE), member 4 ","11"," 119,019,722 "," 119,033,360 ","M1"
"8","ILMN_1794213","ENSG00000248487","ABHD14A","abhydrolase domain containing 14A ","3"," 52,005,442 "," 52,015,212 ","M1"
"9","ILMN_1758825","ENSG00000163995","ABLIM2","actin binding LIM protein family, member 2 ","4"," 7,967,039 "," 8,160,559 ","M1"
"10","ILMN_2367165","ENSG00000114626","ABTB1","ankyrin repeat and BTB (POZ) domain containing 1 ","3"," 127,391,778 "," 127,399,768 ","M1"
"11","ILMN_1797181","ENSG00000170846","AC093323.3","","4"," 6,675,178 "," 6,677,774 ","M1"
"12","ILMN_1772123","ENSG00000132142","ACACA","acetyl-CoA carboxylase alpha ","17"," 35,441,923 "," 35,766,909 ","M1"
"13","ILMN_2225595","ENSG00000151498","ACAD8","acyl-CoA dehydrogenase family, member 8 ","11"," 134,123,389 "," 134,135,749 ","M1"
"14","ILMN_2333219","ENSG00000087085","ACHE","acetylcholinesterase ","7"," 100,487,615 "," 100,494,594 ","M1"
"15","ILMN_2332250","ENSG00000097021","ACOT7","acyl-CoA thioesterase 7 ","1"," 6,324,333 "," 6,454,451 ","M1"
"16","ILMN_1683598","ENSG00000068366","ACSL4","acyl-CoA synthetase long-chain family member 4 ","X"," 108,872,579 "," 108,976,632 ","M1"
"17","ILMN_2125869","ENSG00000143632","ACTA1","actin, alpha 1, skeletal muscle ","1"," 229,566,992 "," 229,569,845 ","M1"
"18","ILMN_1657855","ENSG00000077080","ACTL6B","actin-like 6B ","7"," 100,240,720 "," 100,254,084 ","M1"
"19","ILMN_1798254","ENSG00000131966","ACTR10","actin-related protein 10 homolog (S. cerevisiae) ","14"," 58,666,798 "," 58,701,750 ","M1"
"20","ILMN_1695821","ENSG00000115073","ACTR1B","ARP1 actin-related protein 1 homolog B, centractin beta (yeast) ","2"," 98,272,431 "," 98,280,570 ","M1"
"21","ILMN_2243308","ENSG00000135503","ACVR1B","activin A receptor, type IB ","12"," 52,345,451 "," 52,390,862 ","M1"
"22","ILMN_2158705","ENSG00000170634","ACYP2","acylphosphatase 2, muscle type ","2"," 54,197,975 "," 54,532,437 ","M1"
"23","ILMN_1711374","ENSG00000073670","ADAM11","ADAM metallopeptidase domain 11 ","17"," 42,836,399 "," 42,859,214 ","M1"
"24","ILMN_2060086","ENSG00000114948","ADAM23","ADAM metallopeptidase domain 23 ","2"," 207,308,263 "," 207,485,851 ","M1"
"25","ILMN_1698777","ENSG00000063761","ADCK1","aarF domain containing kinase 1 ","14"," 78,266,426 "," 78,401,355 ","M1"
"26","ILMN_2120555","ENSG00000164742","ADCY1","adenylate cyclase 1 (brain) ","7"," 45,613,739 "," 45,762,715 ","M1"
"27","ILMN_1676893","ENSG00000138031","ADCY3","adenylate cyclase 3 ","2"," 25,042,038 "," 25,142,708 ","M1"
"28","ILMN_1725889","ENSG00000155966","AFF2","AF4/FMR2 family, member 2 ","X"," 147,582,139 "," 148,082,193 ","M1"
"29","ILMN_2066124","ENSG00000141385","AFG3L2","AFG3 ATPase family member 3-like 2 (S. cerevisiae) ","18"," 12,328,943 "," 12,377,313 ","M1"
"30","ILMN_1767722","ENSG00000119844","AFTPH","aftiphilin ","2"," 64,751,465 "," 64,820,139 ","M1"
"31","ILMN_2313821","ENSG00000156709","AIFM1","apoptosis-inducing factor, mitochondrion-associated, 1 ","X"," 129,263,337 "," 129,299,861 ","M1"
"32","ILMN_1723521","ENSG00000196581","AJAP1","adherens junctions associated protein 1 ","1"," 4,714,792 "," 4,852,594 ","M1"
"33","ILMN_2387712","ENSG00000154027","AK5","adenylate kinase 5 ","1"," 77,747,736 "," 78,025,651 ","M1"
"34","ILMN_1693220","ENSG00000023516","AKAP11","A kinase (PRKA) anchor protein 11 ","13"," 42,846,289 "," 42,897,396 ","M1"
"35","ILMN_1733690","ENSG00000118507","AKAP7","A kinase (PRKA) anchor protein 7 ","6"," 131,456,806 "," 131,604,675 ","M1"
"36","ILMN_2148847","ENSG00000135334","AKIRIN2","akirin 2 ","6"," 88,384,790 "," 88,411,927 ","M1"
"37","ILMN_1677043","ENSG00000053371","AKR7A2","aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase) ","1"," 19,630,459 "," 19,638,640 ","M1"
"38","ILMN_1741148","ENSG00000149925","ALDOA","aldolase A, fructose-bisphosphate ","16"," 30,064,411 "," 30,081,778 ","M1"
"39","ILMN_1750256","ENSG00000003393","ALS2","amyotrophic lateral sclerosis 2 (juvenile) ","2"," 202,565,277 "," 202,645,912 ","M1"
"40","ILMN_1685834","ENSG00000078053","AMPH","amphiphysin ","7"," 38,423,305 "," 38,671,167 ","M1"
